iter	Passed	Remaining
0	18	1075
1	33	948
2	52	970
3	79	1069
4	97	1032
5	113	981
6	134	977
7	154	965
8	172	939
9	194	931
10	234	1003
11	271	1039
12	306	1060
13	337	1059
14	366	1051
15	414	1088
16	457	1104
17	487	1084
18	509	1045
19	556	1056
20	599	1056
21	632	1034
22	686	1044
23	716	1015
24	755	996
25	773	951
26	794	912
27	815	874
28	832	832
29	855	798
30	873	760
31	898	729
32	941	713
33	976	689
34	1020	670
35	1057	646
36	1093	620
37	1120	589
38	1142	556
39	1164	524
40	1189	493
41	1208	460
42	1224	427
43	1243	395
44	1262	364
45	1276	332
46	1314	307
47	1353	281
48	1384	254
49	1418	226
50	1450	199
51	1496	172
52	1535	144
53	1554	115
54	1573	85
55	1594	56
56	1610	28
57	1630	0
